n = 8  tau_r =  1  (158 s, 24 pairs x 300 instances)
n = 8  tau_r =  2  (198 s, 24 pairs x 300 instances)
n = 8  tau_r =  4  (202 s, 24 pairs x 300 instances)
n = 8  tau_r =  8  (215 s, 24 pairs x 300 instances)
n = 8  tau_r = 16  (228 s, 24 pairs x 300 instances)
n = 10  tau_r =  1  (365 s, 24 pairs x 300 instances)
n = 10  tau_r =  2  (344 s, 24 pairs x 300 instances)
n = 10  tau_r =  4  (348 s, 24 pairs x 300 instances)
n = 10  tau_r = 10  (362 s, 24 pairs x 300 instances)
n = 10  tau_r = 20  (384 s, 24 pairs x 300 instances)

  n  tau base    kind     t       F     Corr     deep   excess     se
  8    4    1   layer  0.25  0.4847  +0.5630  +0.4827  +0.0802  0.039
  8    4    1   layer  0.50  0.0539  +0.1152  +0.0502  +0.0650  0.057
  8    8    0  global  0.05  0.9087  +0.9047  +0.9083  -0.0036  0.010
  8    8    0  global  0.12  0.5666  +0.5647  +0.5649  -0.0002  0.039
  8    8    0  global  0.25  0.0617  +0.1435  +0.0580  +0.0855  0.057
  8    8    0  global  0.50  0.0035  +0.1106  -0.0004  +0.1110  0.057
  8    8    0    gate  0.05  0.9937  +0.9924  +0.9937  -0.0013  0.001
  8    8    0    gate  0.12  0.9649  +0.9573  +0.9647  -0.0074  0.005
  8    8    0    gate  0.25  0.8615  +0.8371  +0.8610  -0.0239  0.017
  8    8    0    gate  0.50  0.5950  +0.5657  +0.5934  -0.0277  0.039
  8    8    0   layer  0.05  0.9693  +0.9648  +0.9692  -0.0043  0.004
  8    8    0   layer  0.12  0.8318  +0.8039  +0.8312  -0.0273  0.020
  8    8    0   layer  0.25  0.4243  +0.4112  +0.4220  -0.0108  0.048
  8    8    0   layer  0.50  0.0080  +0.0289  +0.0041  +0.0248  0.058
  8    8    1  global  0.05  0.9048  +0.8958  +0.9044  -0.0087  0.011
  8    8    1  global  0.12  0.5742  +0.6025  +0.5726  +0.0299  0.037
  8    8    1  global  0.25  0.1206  +0.1238  +0.1172  +0.0067  0.057
  8    8    1  global  0.50  0.0011  -0.0574  -0.0028  -0.0545  0.058
  8    8    1    gate  0.05  0.9952  +0.9947  +0.9952  -0.0005  0.001
  8    8    1    gate  0.12  0.9742  +0.9704  +0.9741  -0.0037  0.003
  8    8    1    gate  0.25  0.9040  +0.8874  +0.9036  -0.0162  0.012
  8    8    1    gate  0.50  0.7426  +0.7097  +0.7416  -0.0318  0.029
  8    8    1   layer  0.05  0.9782  +0.9750  +0.9781  -0.0031  0.003
  8    8    1   layer  0.12  0.8814  +0.8686  +0.8809  -0.0123  0.014
  8    8    1   layer  0.25  0.5753  +0.5519  +0.5737  -0.0217  0.040
  8    8    1   layer  0.50  0.1058  +0.0713  +0.1023  -0.0310  0.057
  8   16    0  global  0.05  0.9135  +0.9069  +0.9132  -0.0063  0.010
  8   16    0  global  0.12  0.6103  +0.5686  +0.6088  -0.0402  0.039
  8   16    0  global  0.25  0.1443  +0.1208  +0.1409  -0.0201  0.057
  8   16    0  global  0.50  0.0025  +0.0258  -0.0014  +0.0272  0.058
  8   16    0    gate  0.05  0.9886  +0.9900  +0.9886  +0.0014  0.001
  8   16    0    gate  0.12  0.9372  +0.9467  +0.9369  +0.0098  0.006
  8   16    0    gate  0.25  0.7594  +0.8009  +0.7585  +0.0424  0.021
  8   16    0    gate  0.50  0.3503  +0.3981  +0.3477  +0.0503  0.049
  8   16    0   layer  0.05  0.9712  +0.9733  +0.9711  +0.0022  0.003
  8   16    0   layer  0.12  0.8458  +0.8437  +0.8451  -0.0014  0.017
  8   16    0   layer  0.25  0.4929  +0.4719  +0.4910  -0.0190  0.045
  8   16    0   layer  0.50  0.0783  +0.1208  +0.0747  +0.0461  0.057
  8   16    1  global  0.05  0.8919  +0.9009  +0.8915  +0.0093  0.011
  8   16    1  global  0.12  0.5121  +0.5623  +0.5102  +0.0521  0.039
  8   16    1  global  0.25  0.0524  +0.0565  +0.0487  +0.0079  0.058
  8   16    1  global  0.50  0.0041  +0.0044  +0.0002  +0.0043  0.058
  8   16    1    gate  0.05  0.9915  +0.9926  +0.9914  +0.0012  0.001
  8   16    1    gate  0.12  0.9500  +0.9553  +0.9498  +0.0055  0.005
  8   16    1    gate  0.25  0.7857  +0.8012  +0.7848  +0.0164  0.021
  8   16    1    gate  0.50  0.2978  +0.3483  +0.2951  +0.0532  0.051
  8   16    1   layer  0.05  0.9725  +0.9721  +0.9724  -0.0003  0.003
  8   16    1   layer  0.12  0.8512  +0.8447  +0.8507  -0.0060  0.017
  8   16    1   layer  0.25  0.4973  +0.4412  +0.4954  -0.0542  0.046
  8   16    1   layer  0.50  0.0684  -0.0431  +0.0648  -0.1079  0.058
 10    1    0  global  0.05  0.8234  +0.8995  +0.8232  +0.0763  0.011
 10    1    0  global  0.12  0.3265  +0.6376  +0.3258  +0.3118  0.034
 10    1    0  global  0.25  0.0054  +0.1083  +0.0044  +0.1038  0.057
 10    1    0  global  0.50  0.0003  +0.0222  -0.0007  +0.0229  0.058
 10    1    0    gate  0.05  0.9909  +0.9968  +0.9909  +0.0059  0.000
 10    1    0    gate  0.12  0.9485  +0.9812  +0.9485  +0.0327  0.002
 10    1    0    gate  0.25  0.7922  +0.9043  +0.7920  +0.1122  0.011
 10    1    0    gate  0.50  0.3744  +0.5721  +0.3737  +0.1983  0.039
 10    1    0   layer  0.05  0.9687  +0.9865  +0.9687  +0.0178  0.002
 10    1    0   layer  0.12  0.8340  +0.9318  +0.8338  +0.0979  0.008
 10    1    0   layer  0.25  0.4615  +0.7582  +0.4609  +0.2973  0.025
 10    1    0   layer  0.50  0.0590  +0.2967  +0.0580  +0.2386  0.053
 10    1    1  global  0.05  0.8329  +0.9081  +0.8328  +0.0754  0.010
 10    1    1  global  0.12  0.3643  +0.6245  +0.3636  +0.2609  0.035
 10    1    1  global  0.25  0.0097  +0.1559  +0.0087  +0.1472  0.056
 10    1    1  global  0.50  0.0017  -0.0129  +0.0007  -0.0137  0.058
